isbn13,title,authors,categories,average_rating,ratings_count,weighted_rating
9780740748479,The Complete Calvin and Hobbes,Bill Watterson,Comics & Graphic Novels,4.82,31249.0,4.677290535748215
9780439682589,Harry Potter,J. K. Rowling,Juvenile Fiction,4.78,38872.0,4.666881460706649
9780836218053,The Essential Calvin And Hobbes,Bill Watterson,Comics & Graphic Novels,4.64,102955.0,4.601118819760472
9780836221367,It's a Magical World,Bill Watterson,Humor,4.76,23336.0,4.591048303484369
9780439827607,The Harry Potter Collection,J. K. Rowling,Juvenile Fiction,4.73,27410.0,4.5870369935550865
9780439785969,Harry Potter and the Half-Blood Prince (Book 6),"Rowling, J.K.",Juvenile Fiction,4.56,1944099.0,4.558073641621297
9780836204384,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,Humor,4.63,48868.0,4.553878802523984
9780345538376,The Hobbit / The Lord of the Rings,John Ronald Reuel Tolkien,Fiction,4.59,97731.0,4.552049626340696
9780439655484,Harry Potter and the Prisoner of Azkaban (Book 3),"Rowling, J.K.",Juvenile Fiction,4.55,2149872.0,4.548285308395304
9780836217353,The Days Are Just Packed,Bill Watterson,Humor,4.69,20021.0,4.51564559635465
9780141014081,Complete Maus,Art Spiegelman,Children of Holocaust survivors,4.55,100212.0,4.515193396324277
9780345339737,The Fellowship of the Ring,John Ronald Reuel Tolkien,Fantasy fiction,4.52,532629.0,4.51347066233333
9780836218527,The Calvin and Hobbes Lazy Sunday Book,Bill Watterson,Humor,4.67,19364.0,4.495855167850179
9780836217698,Homicidal Psycho Jungle Cat,Bill Watterson,Humor,4.72,14952.0,4.494865587900309
9780439358071,Harry Potter and the Order of the Phoenix (Book 5),"Rowling, J.K.",Juvenile Fiction,4.49,1996446.0,4.488333507972824
9781563890352,Season of Mists,Neil Gaiman;Kelley Jones,Comics & Graphic Novels,4.54,49151.0,4.474050938311228
9780439554930,Harry Potter and the Sorcerer's Stone (Book 1),"Rowling, J.K.",Juvenile Fiction,4.47,5629932.0,4.469429164883791
9781401210823,The Absolute Sandman,Neil Gaiman;Sam Kieth,Comics & Graphic Novels,4.65,14849.0,4.443881704468997
9781563892875,The Wake,Neil Gaiman,"Comic books, strips, etc",4.52,35864.0,4.435979990442968
9780451219367,Lover Awakened,J. R. Ward,Fiction,4.45,141779.0,4.429039914158234
9780140286809,Collected Fictions,Jorge Luis Borges;Andrew Hurley,Fiction,4.58,18072.0,4.418919539791564
9780385340397,A Breath of Snow and Ashes,Diana Gabaldon,Fiction,4.44,100326.0,4.411431452488322
9780439064866,Harry Potter and the Chamber of Secrets (Book 2),"Rowling, J.K.",Juvenile Fiction,4.41,2115562.0,4.408653068759331
9780553381696,A Clash of Kings,George R. R. Martin,Fiction,4.41,599010.0,4.40527673769516
9780747546245,Harry Potter and the Goblet of Fire,J. K. Rowling,Juvenile Fiction,4.55,18097.0,4.39655019997588
9780743464116,Band of Brothers,Stephen E. Ambrose,History,4.43,77632.0,4.39439527481196
9780618391004,The Lord of the Rings,Chris Smith,Literary Criticism,4.53,18934.0,4.386511286041138
9780385335997,Voyager,Diana Gabaldon,Fiction,4.39,188662.0,4.375935524240774
9780345453747,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,Fiction,4.38,240189.0,4.369122726983643
9780679729778,Maus II,Art Spiegelman,Biography & Autobiography,4.39,111555.0,4.366709784747701
9780385074070,Complete Stories and Poems of Edgar Allan Poe,Edgar Allan Poe,Fiction,4.38,174162.0,4.365136200332596
9780142000656,East of Eden,John Steinbeck,Fiction,4.37,358668.0,4.362821120848373
9780553212419,Sherlock Holmes the Complete Novels and Stories Book Discussion Kit,,Detective and mystery stories,4.47,23814.0,4.362067062710211
9780896214408,Rita Hayworth and Shawshank Redemption,Stephen King,Fiction,4.52,15409.0,4.355678653177537
9781421501758,"Fullmetal Alchemist, Vol. 5",Hiromu Arakawa,Comics & Graphic Novels,4.56,12344.0,4.355139590449436
9780618346257,The Fellowship of the Ring,J. R. R. Tolkien,Fiction,4.35,2009749.0,4.348760757212371
9780679889106,The Lorax,Dr. Seuss,Juvenile Fiction,4.35,245819.0,4.340079934375587
9781400030651,A Fine Balance,Rohinton Mistry,Fiction,4.36,108208.0,4.337601588905279
9780517219027,Three complete novels,Stephen King,Fiction,4.53,12320.0,4.3346890068649175
9780451218049,Lover Eternal,J. R. Ward,Fiction,4.35,152091.0,4.3341983369941595
9780751514629,Different Seasons,Stephen King,Castle Rock (Me. : Imaginary place),4.35,121420.0,4.330394550448787
9780394541556,Maus,Art Spiegelman,Children of Holocaust survivors,4.34,202242.0,4.328291792359694
9780349100135,If this is a Man ; and The Truce,Primo Levi,History,4.55,10625.0,4.32755515502348
9781593080648,The Essential Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,Literary Collections,4.36,65137.0,4.3240388365705025
9780763625894,The Miraculous Journey of Edward Tulane,Kate DiCamillo,Juvenile Fiction,4.36,62334.0,4.32256359585625
9781421504612,Fullmetal Alchemist,Hiromu Arakawa,Comics & Graphic Novels,4.6,8273.0,4.319876874088772
9780060513092,Falling Up,Shel Silverstein,Juvenile Nonfiction,4.34,114058.0,4.319691493882562
9780743455961,On Writing,Stephen King,Biography & Autobiography,4.33,160056.0,4.315678170512477
9781421513799,Fullmetal Alchemist,Hiromu Arakawa,Comics & Graphic Novels,4.59,8313.0,4.314849345913076
9780842386883,Reunion,Karen Kingsbury;Gary Smalley,Fiction,4.5,12171.0,4.31298531208109
9780553258479,Exodus,Leon Uris,Eretz Israel,4.34,83870.0,4.312869203539477
9780684823782,Mere Christianity,C. S. Lewis,Religion,4.32,233819.0,4.310333285538871
9780385335973,Dragonfly in Amber,Diana Gabaldon,Fiction,4.32,208928.0,4.309213739706841
9780374529604,The Poetry of Pablo Neruda,Pablo Neruda;Ilan Stavans,Poetry,4.45,15986.0,4.309079857364057
9781421504605,Fullmetal Alchemist,Hiromu Arakawa,Comics & Graphic Novels,4.57,8568.0,4.307899627777076
